price,sqft,beds,bath,laundry,pets,housing_type,parking,hood_district
3200,800,2,1, on-site, no pets, multi, no parking,8
3000,800,2,1, on-site, no pets, multi, no parking,8
3250,900,2,1, no laundry, no pets, multi, protected,5
2800,675,2,1, no laundry, no pets, multi, no parking,8
2700,675,2,1, no laundry, no pets, multi, no parking,8
3795,1200,2,2, in-unit, both, multi, no parking,9
3950,1450,3,1, in-unit, both, multi, no parking,9
1691,232,0,1, on-site, no pets, multi, protected,9
1660,232,0,1, on-site, no pets, multi, protected,9
1690,233,0,1, on-site, no pets, multi, protected,9
1679,241,0,1, on-site, no pets, multi, protected,9
3000,810,1,1, in-unit, both, multi, protected,7
3999,1000,2,1, in-unit, no pets, multi, no parking,5
3600,800,2,2, on-site, both, multi, no parking,5
3700,930,2,2, in-unit, dogs, multi, protected,9
2500,900,2,1, on-site, no pets, double, no parking,10
2765,902,2,1.5, no laundry, no pets, multi, no parking,10
2850,900,2,1, no laundry, no pets, multi, no parking,8
2999,775,2,1, on-site, no pets, multi, protected,1
3900,950,2,2, on-site, both, multi, protected,9
6995,1473,2,2.5, in-unit, no pets, multi, no parking,8
3900,1254,2,1.5, in-unit, both, multi, protected,9
4500,1450,2,2, in-unit, both, multi, protected,8
5595,1150,2,2, in-unit, no pets, multi, protected,9
3000,860,2,1, no laundry, no pets, multi, no parking,2
3895,1000,2,1, on-site, no pets, multi, off-street,8
3999,1500,2,2, in-unit, no pets, multi, protected,9
4500,975,2,2, in-unit, no pets, multi, protected,7
3150,900,2,1, on-site, both, multi, no parking,9
3800,1200,2,1, on-site, no pets, multi, protected,8
3100,750,2,1, on-site, cats, multi, protected,4
3795,1050,2,1, on-site, no pets, multi, protected,5
2800,875,2,1, on-site, no pets, multi, protected,9
3100,1000,2,1, no laundry, no pets, multi, protected,2
3300,1000,2,1, on-site, no pets, multi, protected,7
2765,902,2,1.5, no laundry, no pets, multi, no parking,10
3250,1000,2,1, on-site, no pets, multi, no parking,2
3349,1400,3,1, on-site, no pets, multi, no parking,1
4750,1421,3,1.5, no laundry, both, multi, no parking,5
7195,1651,3,2, in-unit, both, multi, protected,5
4637,1108,3,2, no laundry, both, multi, protected,6
2999,2000,3,2, on-site, no pets, single, no parking,10
3699,1100,3,1, no laundry, both, multi, no parking,8
4950,1000,3,1.5, no laundry, no pets, multi, no parking,8
3200,950,3,1.5, in-unit, no pets, single, no parking,10
3800,1500,3,2, on-site, no pets, multi, no parking,7
3900,1200,3,1, on-site, no pets, multi, no parking,8
5100,1500,3,2.5, in-unit, no pets, single, protected,4
7654,1525,3,2.5, in-unit, dogs, multi, protected,8
3698,900,3,1, on-site, both, multi, no parking,9
4995,1500,3,2, in-unit, both, multi, off-street,5
3595,1100,3,1, on-site, no pets, multi, no parking,8
2599,665,1,1, in-unit, no pets, multi, off-street,9
2900,950,1,1, on-site, no pets, multi, no parking,1
4149,1200,3,1.5, on-site, no pets, multi, protected,2
3300,800,3,3, no laundry, no pets, multi, no parking,2
2900,1000,3,1, on-site, no pets, single, no parking,3
3200,800,3,2, in-unit, no pets, multi, no parking,8
3700,1600,3,2, on-site, no pets, multi, no parking,6
4000,1500,3,2, in-unit, cats, multi, no parking,5
4800,1500,3,2.5, on-site, no pets, multi, no parking,7
4695,1650,3,3, on-site, no pets, multi, protected,1
2995,732,1,1, in-unit, no pets, multi, protected,9
2950,1162,1,2, in-unit, no pets, multi, protected,9
3850,966,2,2, in-unit, no pets, multi, protected,9
5695,1429,3,1.5, in-unit, both, multi, protected,5
5000,1240,3,2, on-site, no pets, multi, protected,5
9300,2200,4,2.5, in-unit, no pets, multi, protected,7
6000,1500,4,2, on-site, no pets, multi, no parking,7
5600,1800,4,1, in-unit, no pets, multi, protected,5
5500,1800,4,2, in-unit, no pets, multi, no parking,5
3150,1000,1,1, no laundry, cats, multi, no parking,8
3150,1000,1,1, no laundry, cats, multi, no parking,8
4700,1750,2,2, in-unit, no pets, multi, protected,9
7999,2379,4,4, in-unit, both, single, protected,4
4800,1700,4,2.5, in-unit, no pets, multi, protected,9
4400,1400,4,2.5, in-unit, both, multi, off-street,7
3600,1000,4,2, on-site, no pets, multi, no parking,5
3950,1432,3,1, no laundry, both, multi, no parking,9
5555,1555,5,1.5, no laundry, both, multi, no parking,5
7950,1800,5,2, no laundry, no pets, multi, no parking,6
10000,2000,6,2, in-unit, no pets, single, off-street,7
1575,310,0,1, on-site, both, multi, no parking,8
2225,428,1,1, on-site, both, multi, no parking,8
2915,543,1,1, in-unit, both, multi, protected,5
2445,400,2,1, on-site, both, multi, no parking,8
2195,404,1,1, on-site, both, multi, no parking,8
3250,1036,2,1, on-site, both, multi, no parking,8
5000,2100,6,3, no laundry, no pets, multi, no parking,2
2404,1032,1,1, in-unit, both, multi, protected,10
3995,1090,2,2, in-unit, no pets, multi, protected,9
3807,1592,2,2, in-unit, both, multi, no parking,10
3000,631,1,1, in-unit, no pets, multi, protected,9
2917,721,1,1, in-unit, no pets, multi, protected,9
2574,736,1,1, in-unit, both, multi, protected,9
4242,981,2,2, in-unit, both, multi, valet,9
2288,433,0,1, in-unit, both, multi, protected,9
2500,800,1,1.5, in-unit, no pets, multi, no parking,9
3195,750,1,1, in-unit, no pets, multi, protected,9
2337,800,1,1, on-site, cats, multi, protected,9
2418,431,0,1, in-unit, no pets, multi, off-street,9
3980,1000,4,1.5, in-unit, both, multi, protected,9
5200,1800,5,2, in-unit, no pets, multi, no parking,7
4595,1400,4,1.5, in-unit, no pets, multi, no parking,6
2500,950,1,1, in-unit, no pets, multi, no parking,2
2292,515,1,1, in-unit, both, multi, no parking,8
3363,1090,2,2, in-unit, both, multi, no parking,9
2643,769,1,1, in-unit, both, multi, protected,8
3500,1250,1,1, in-unit, both, multi, protected,8
4495,1494,2,2.5, in-unit, both, multi, protected,9
5650,936,4,2, no laundry, no pets, multi, no parking,6
4595,1200,3,1, on-site, no pets, multi, no parking,8
2800,800,1,1, on-site, cats, multi, no parking,7
3600,1280,3,2, on-site, no pets, multi, no parking,2
3099,921,2,2, in-unit, both, multi, protected,9
3395,850,2,1, on-site, no pets, multi, no parking,5
2695,780,1,1, on-site, cats, multi, no parking,1
5795,1620,4,3, in-unit, both, multi, protected,9
2966,800,2,1, in-unit, no pets, multi, no parking,9
1218,200,0,1, on-site, no pets, multi, no parking,9
5200,1000,3,1, in-unit, no pets, single, off-street,7
3495,800,2,1, on-site, both, multi, protected,9
3500,850,2,1, in-unit, no pets, multi, no parking,8
3475,925,1,1, on-site, both, multi, protected,9
4395,1035,2,2, in-unit, both, multi, no parking,6
3850,1050,2,1.5, in-unit, no pets, multi, protected,9
4595,1500,3,1, in-unit, no pets, multi, protected,5
4750,1414,3,2, on-site, no pets, multi, protected,9
19000,2358,3,3.5, in-unit, no pets, multi, valet,9
3650,750,3,2, on-site, no pets, multi, no parking,1
2875,633,1,1, on-site, both, multi, protected,2
2427,1133,1,1, in-unit, both, multi, no parking,10
2695,1000,2,2, no laundry, no pets, multi, no parking,8
2695,1000,2,2, no laundry, no pets, multi, no parking,5
3412,916,2,2, in-unit, both, multi, no parking,8
2850,750,2,1, on-site, no pets, multi, no parking,8
3099,875,2,2, on-site, no pets, multi, protected,6
4050,1200,3,1.5, in-unit, cats, multi, no parking,9
2200,500,1,1, on-site, both, multi, no parking,7
2595,650,1,1, on-site, cats, multi, protected,1
3295,933,2,1, on-site, both, multi, protected,8
3295,833,2,1, on-site, both, multi, protected,8
3300,950,3,1.5, on-site, no pets, multi, no parking,8
3500,909,1,1, in-unit, no pets, multi, no parking,9
3459,882,1,1, in-unit, no pets, multi, protected,9
4950,1300,3,1, in-unit, both, multi, no parking,6
2669,789,1,1, in-unit, both, multi, protected,8
2995,650,1,1, on-site, no pets, multi, protected,7
3525,805,1,1, in-unit, both, multi, protected,6
4210,1374,2,2, in-unit, both, multi, protected,8
2395,650,1,1, on-site, cats, multi, no parking,6
2200,550,1,1, on-site, no pets, multi, no parking,8
2595,690,1,1, in-unit, no pets, multi, protected,9
4400,1200,3,1, on-site, cats, multi, no parking,8
1900,650,1,1, on-site, no pets, multi, no parking,1
3400,680,1,1, on-site, both, multi, protected,6
2450,450,1,1, on-site, both, multi, no parking,8
2195,750,1,1, no laundry, no pets, multi, no parking,1
1800,450,1,1, no laundry, no pets, multi, off-street,3
2990,587,1,1, in-unit, both, multi, protected,5
3980,800,1,1, on-site, no pets, multi, off-street,5
2950,1000,2,1, on-site, no pets, multi, no parking,6
3799,1187,2,2, in-unit, both, multi, no parking,8
4000,775,3,1, on-site, no pets, single, no parking,10
